timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666527331036,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-8,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,0,0,1
1666527333026,0,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-9,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,0
1666527333028,0,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-9,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,0,0,0
1666527333029,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-9,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,0,0,1
1666527335029,1,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-10,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,1
1666527335031,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-10,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,0,0,1
1666527335033,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-10,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,0,0,1
1666527337028,1,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-11,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,1
1666527337031,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-11,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,0,0,1
1666527337034,0,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-11,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,0,0,0
1666527339028,1,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-12,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,1
1666527339030,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-12,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,0,0,0
1666527339032,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-12,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,0,0,1
1666527341023,3,Get Users,Non HTTP response code: java.net.UnknownHostException,"Non HTTP response message: myproject3-appservice.azurewebsites.net: nodename nor servname provided, or not known",endurance 1-13,text,false,,2369,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,3
1666527341028,0,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-13,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,0,0,0
1666527341029,0,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-13,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,0,0,0
1666527343030,0,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-14,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,0
1666527343031,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-14,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,0,0,1
1666527343033,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-14,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,0,0,1
1666527345025,0,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-15,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,0
1666527345026,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-15,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,0,0,1
1666527345028,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-15,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,0,0,1
